"","region","freq","count"
"1","alabama",202,26
"2","alaska",0,0
"3","arizona",149,25
"4","arkansas",312,38
"5","california",516,265
"6","colorado",79,34
"7","connecticut",91,23
"8","delaware",94,11
"9","florida",872,67
"10","georgia",381,83
"11","hawaii",0,0
"12","idaho",233,4
"13","illinois",329,87
"14","indiana",257,44
"15","iowa",256,28
"16","kansas",113,205
"17","kentucky",397,34
"18","louisiana",650,61
"19","maine",399,14
"20","maryland",566,55
"21","massachusetts",286,60
"22","michigan",830,32
"23","minnesota",373,16
"24","mississippi",382,5
"25","missouri",315,47
"26","montana",238,5
"27","nebraska",208,8
"28","nevada",70,36
"29","new hampshire",125,9
"30","new jersey",205,48
"31","new mexico",78,13
"32","new york",495,203
"33","north carolina",782,74
"34","north dakota",105,6
"35","ohio",238,115
"36","oklahoma",284,59
"37","oregon",236,9
"38","pennsylvania",172,105
"39","rhode island",66,4
"40","south carolina",304,21
"41","south dakota",166,3
"42","tennessee",289,60
"43","texas",1088,201
"44","utah",59,17
"45","vermont",129,5
"46","virginia",734,62
"47","washington",545,30
"48","west virginia",373,18
"49","wisconsin",388,33
"50","wyoming",68,0
